Kreisfreie Stadt,Bundesland,2009
Aachen,Nordrhein-Westfalen,258.38
Amberg,Bayern,43.715
Ansbach,Bayern,40.42
Aschaffenburg,Bayern,68.722
Augsburg,Bayern,263.646
Baden-Baden,Baden-Württemberg,54.494
Bamberg,Bayern,69.827
Bayreuth,Bayern,72.576
Berlin,Berlin,3.442.675
Bielefeld,Nordrhein-Westfalen,323.084
Bochum,Nordrhein-Westfalen,376.319
Bonn,Nordrhein-Westfalen,319.841
Bottrop,Nordrhein-Westfalen,117.241
Brandenburg an der Havel,Brandenburg,72.264
Braunschweig,Niedersachsen,247.4
Bremen,Bundesland Bremen,547.685
Bremerhaven,Bundesland Bremen,114.031
Chemnitz,Sachsen,243.089
Coburg,Bayern,41.177
Cottbus,Brandenburg,101.671
Darmstadt,Hessen,143.332
Delmenhorst,Niedersachsen,74.512
Dessau-Rosslau,Sachsen-Anhalt,87.764
Dortmund,Nordrhein-Westfalen,581.308
Dresden,Sachsen,517.052
Duisburg,Nordrhein-Westfalen,491.931
Düsseldorf,Nordrhein-Westfalen,586.217
Eisenach,Thüringen,42.847
Emden,Niedersachsen,51.292
Erfurt,Thüringen,203.83
Erlangen,Bayern,105.554
Essen,Nordrhein-Westfalen,576.259
Flensburg,Schleswig-Holstein,88.511
Frankenthal (Pfalz),Rheinland-Pfalz,46.874
Frankfurt (Oder),Brandenburg,60.625
Frankfurt am Main,Hessen,671.927
Freiburg im Breisgau,Baden-Württemberg,221.924
Fürth,Bayern,114.044
Gelsenkirchen,Nordrhein-Westfalen,259.744
Gera,Thüringen,99.987
Göttingen,Niedersachsen,121.457
Hagen,Nordrhein-Westfalen,190.121
Halle (Saale),Sachsen-Anhalt,232.323
Hamburg,Hansestadt Hamburg,1.774.224
Hamm,Nordrhein-Westfalen,181.741
Hannover,Niedersachsen,520.966
Heidelberg,Baden-Württemberg,146.466
Heilbronn,Baden-Württemberg,122.415
Herne,Nordrhein-Westfalen,165.632
Hof,Bayern,46.779
Ingolstadt,Bayern,124.387
Jena,Thüringen,104.449
Kaiserslautern,Rheinland-Pfalz,99.275
Karlsruhe,Baden-Württemberg,291.959
Kassel,Hessen,194.774
Kaufbeuren,Bayern,41.881
Kempten (Allgäu),Bayern,62.007
Kiel,Schleswig-Holstein,238.049
Koblenz,Rheinland-Pfalz,106.445
Köln,Nordrhein-Westfalen,998.105
Krefeld,Nordrhein-Westfalen,235.414
Landau in der Pfalz,Rheinland-Pfalz,42.994
Landshut,Bayern,62.735
Leipzig,Sachsen,518.862
Leverkusen,Nordrhein-Westfalen,160.593
Lübeck,Schleswig-Holstein,209.89
Ludwigshafen am Rhein,Rheinland-Pfalz,163.34
Magdeburg,Sachsen-Anhalt,230.456
Mainz,Rheinland-Pfalz,197.778
Mannheim,Baden-Württemberg,311.969
Memmingen,Bayern,41.085
Mönchengladbach,Nordrhein-Westfalen,258.251
Mülheim an der Ruhr,Nordrhein-Westfalen,167.471
München,Bayern,1.330.440
Münster (Westfalen),Nordrhein-Westfalen,275.543
Neumünster,Schleswig-Holstein,76.955
Neustadt an der Weinstraße,Rheinland-Pfalz,53.525
Nürnberg,Bayern,503.673
Oberhausen,Nordrhein-Westfalen,214.024
Offenbach am Main,Hessen,118.77
Oldenburg,Niedersachsen,161.334
Osnabrück,Niedersachsen,163.514
Passau,Bayern,50.627
Pforzheim,Baden-Württemberg,119.788
Pirmasens,Rheinland-Pfalz,40.808
Potsdam,Brandenburg,154.606
Regensburg,Bayern,134.218
Remscheid,Nordrhein-Westfalen,111.422
Rosenheim,Bayern,60.877
Rostock,Mecklenburg-Vorpommern,201.442
Salzgitter,Niedersachsen,103.446
Schwabach,Bayern,38.751
Schweinfurt,Bayern,53.533
Schwerin,Mecklenburg-Vorpommern,95.041
Solingen,Nordrhein-Westfalen,160.992
Speyer,Rheinland-Pfalz,49.811
Straubing,Bayern,44.493
Stuttgart,Baden-Württemberg,601.646
Suhl,Thüringen,39.526
Trier,Rheinland-Pfalz,104.587
Ulm,Baden-Württemberg,122.087
Weiden in der Oberpfalz,Bayern,42.058
Weimar,Thüringen,65.233
Wiesbaden,Hessen,277.493
Wilhelmshaven,Niedersachsen,81.137
Wolfsburg,Niedersachsen,121.109
Worms,Rheinland-Pfalz,81.784
Wuppertal,Nordrhein-Westfalen,351.05
Würzburg,Bayern,133.195
Zweibrücken,Rheinland-Pfalz,34.109
